width,height,size,delay,rate
160,120,56,90.0,30.0
320,240,225,94.0,30.0
640,480,900,112.0,30.0
800,600,1406,94.0,24.1
1280,720,2700,105.0,10.0
1920,1080,6075,166.0,5.0
