width,height,size,delay,rate
160,120,56,3.2,28.4
320,240,225,1.1,30.0
640,480,900,3.6,29.0
800,600,1406,5.4,22.6
1280,720,2700,6.2,23.6
1920,1080,6075,4.0,21.6
