width,height,size,delay,rate
160,120,56,0.9,30.0
320,240,225,2.4,28.1
640,480,900,4.4,26.2
800,600,1406,2.9,25.7
1280,720,2700,21.6,14.6
1920,1080,6075,36.0,5.4
